Date,MSCI.World,MSCI.EmergingMarkets,SP500,US10Y,DE10Y,SP.InvestmentGrade,SP.HighYield,MSCI.World.RealEstate,MSCI.US.RealEstate
9/5/2001,-0.007369446,-0.00724931,-0.000325249,-0.012881387,-0.006474762,-0.011848734,-0.000395391,-0.005643772,-0.009131355
9/6/2001,-0.019011968,-0.012531429,-0.022009578,0.001443404,-0.001840852,0.001479282,-0.000165585,-0.014213279,0.003079242
9/7/2001,-0.014820687,-0.004013549,-0.018979071,0.009419272,0.003684778,0.005190013,-0.001600407,-0.012492704,-0.006594614
9/10/2001,-0.002704706,-0.008990377,0.006982545,0.004547108,0.003738275,0.002750892,-0.001579522,-0.016279969,-0.009724139
9/11/2001,-0.015913567,-0.032612648,-5.54254E-05,-0.003795899,-0.001890948,-0.003085003,-0.001024199,-0.008671368,-0.002167298
9/12/2001,-0.003839162,-0.026080457,0.00042445,0.000481457,0.004336676,0.000235759,0.000732011,-0.004885877,-0.025741925
9/13/2001,0.005270279,-0.012699978,-0.000344232,0.000212106,-0.001660335,-7.4379E-05,0.000380279,-0.034605962,-0.008461242
9/14/2001,-0.008729903,-0.024454849,-0.00067761,0.015124248,-0.002893091,0.013000724,0.002130728,0.010379264,0.01246221
9/17/2001,-0.026179196,-0.01584223,-0.048660912,0.00501824,0.005926029,0.002693098,0.000369775,-0.006506258,-0.009470118
9/18/2001,-0.004817721,0.005337884,-0.005661092,-0.003030184,-0.00271169,-0.001704389,0.000891305,-0.037354669,-0.014631275
9/19/2001,-0.010680804,0.006073095,-0.015935515,-0.0103244,8.79283E-05,-0.011225263,-0.022009718,-0.006959275,-0.01625404
9/20/2001,-0.031374713,-0.028525632,-0.031496638,0.002626087,-0.000652467,-0.003743841,-0.012765926,-0.003372449,0.006136651
9/21/2001,-0.026172303,-0.025606952,-0.018967088,-0.002598336,-0.001229767,-0.005561135,-0.010601185,-0.020015856,-0.028162381
9/24/2001,0.037298037,0.012007076,0.039059683,0.005044795,-0.002335375,0.000603095,-0.007972855,-0.031363882,-0.044587573
9/25/2001,0.011616462,-0.00384617,0.008787255,-0.002374593,-0.000912361,-0.002070466,-0.000532657,0.021632388,0.031470278
9/26/2001,-0.00064822,0.000641442,-0.005277098,0.000819819,0.004414585,0.000634445,-0.000813397,-0.000850739,0.008715144
9/27/2001,0.00854777,-8.57419E-05,0.011282764,0.005354764,0.002941363,0.000636986,-0.002330262,0.009066676,0.018647439
9/28/2001,0.020648561,0.016457505,0.022070854,0.005847111,0.003999506,0.005464808,-0.005068609,0.019503971,0.001061671
10/1/2001,-0.003694104,-0.003641224,-0.002052195,-0.000279638,-0.001153158,0.001562021,-0.000906709,0.01703695,0.006799849
10/2/2001,0.011108767,-0.00730745,0.012572083,0.002916488,0.002243736,0.003501645,-0.001492072,0.005145031,-0.004702039
10/3/2001,0.010694933,-0.00499335,0.018931679,0.002622915,0.004844423,0.002307106,-0.000772422,0.000429346,0.007591912
10/4/2001,0.008934638,0.02025438,-0.002416204,0.001798959,0.003804434,0.003214059,-0.000141735,-0.006564972,0.010352165
10/5/2001,0.001963914,0.003704892,0.002300235,-0.001614206,-0.001827421,-0.001216382,0.001623845,0.016771273,0.013009234
10/8/2001,-0.004378546,-0.011015166,-0.008263487,0.000158212,0.002236456,-0.000198522,-6.83899E-05,-0.008990349,0.010213045
10/9/2001,-0.007189437,0.017399587,-0.005729185,0.000166789,-6.74178E-05,-0.00015637,0.003866291,-0.011837347,-0.014963338
10/10/2001,0.015828875,0.01127427,0.02331636,-0.007267103,-0.002163817,-0.006208988,-0.001495416,0.000260309,-0.006865094
10/11/2001,0.012767157,0.027242256,0.015758424,0.000784892,0.000912084,-0.000181862,0.001560933,-0.00257544,0.003246725
10/12/2001,-0.001347109,-0.004893059,-0.006190858,-0.006848175,-0.002237023,-0.00176456,0.008827064,0.007351766,0.003199285
